symbol,name,current_price,fair_value_per_share,upside_pct,predicted_ev
ICE,"Intercontinental Exchange, Inc.",140.8602,143.30629349577856,1.7,1.011635e+11
IFF,International Flavors & Fragrances Inc.,73.175,73.59865635670377,0.6,2.4695992e+10
IP,International Paper Company,33.68,34.181030381851365,1.5,2.6622435e+10
INTU,Intuit Inc.,296.4,302.00874523007855,1.9,8.2730566e+10
ISRG,"Intuitive Surgical, Inc.",424.77,418.80496560957687,-1.4,1.4380786e+11
IVZ,Invesco Ltd.,27.43,35.99502118478776,31.2,1.7116272e+10
INVH,Invitation Homes Inc.,30.11,29.607900516710306,-1.7,2.630901e+10
IQV,IQVIA Holdings Inc.,183.6,149.338227345716,-18.7,3.903855e+10
IRM,Iron Mountain Incorporated,126.0,130.74491443619092,3.8,5.8365755e+10
JBHT,"J.B. Hunt Transport Services, Inc.",288.175,283.6379371732336,-1.6,2.8310206e+10
JBL,Jabil Inc.,355.205,372.7142487131742,4.9,4.192933e+10
JKHY,"Jack Henry & Associates, Inc.",130.265,130.54261338158426,0.2,9.391169e+09
J,Jacobs Solutions Inc.,123.5048,93.28032674960016,-24.5,1.4200797e+10
JCI,Johnson Controls International plc,143.7,146.89900388598977,2.2,9.8450375e+10
KVUE,Kenvue Inc.,17.7294,16.97779095234793,-4.2,4.0324506e+10
KDP,Keurig Dr Pepper Inc.,30.8466,36.0378033456797,16.8,7.7024575e+10
KEYS,"Keysight Technologies, Inc.",331.78,347.6183106803185,4.8,5.9698827e+10
KMB,Kimberly-Clark Corporation,99.26,94.54961790018199,-4.7,3.7948834e+10
KIM,Kimco Realty Corporation,24.29,24.267016236212545,-0.1,2.450544e+10
KMI,"Kinder Morgan, Inc.",31.855,32.203461880363335,1.1,1.0377609e+11
KLAC,KLA Corporation,1978.0,2130.1035977556367,7.7,2.7943757e+11
KHC,The Kraft Heinz Company,22.575,22.4342520718037,-0.6,4.3644035e+10
KR,The Kroger Co.,63.96,80.83714699826697,26.4,7.119901e+10
LH,Labcorp Holdings Inc.,266.1,261.8906224390244,-1.6,2.778833e+10
