symbol,name,sector,current_price,market_cap,pe_ratio,ev_ebitda,altman_z_score,z_score_zone,ml_fair_value,ml_upside,dcf_base_case,dcf_bull,dcf_bear,dcf_upside,cagr,avg_fcf_margin
STZ,"Constellation Brands, Inc.",Consumer Defensive,141.43,24357734400.0,14.73229,10.38,2.791,grey,137.679812177254,-2.7,53.135689764722784,132.28631942286117,21.18433754439122,-62.4,-1.12,18.0
CEG,Constellation Energy Corporation,Utilities,256.75,91685945344.0,22.30669,14.768,2.283,grey,268.19506785367724,4.5,-50.64137962927418,-43.906902010976665,-53.35678658568756,-119.7,1.47,1.0
COO,"The Cooper Companies, Inc.",Healthcare,66.97,13066811392.0,33.31841,16.261,3.365,safe,,,22.93689602761099,47.496842458718405,13.05668357890474,-65.8,7.35,9.4
CPRT,"Copart, Inc.",Industrials,30.845,28556654592.0,19.158384,12.44,22.136,safe,30.884027320801795,0.1,27.854507213873895,44.559512653216345,21.14005912023982,-9.7,9.9,23.76
GLW,Corning Incorporated,Technology,177.64,152883707904.0,85.40385,45.778,6.571,safe,197.14602356455808,11.0,9.755523661803686,23.04742464993318,4.40011881051372,-94.5,3.27,7.12
CPAY,"Corpay, Inc.",Technology,349.9301,22872104960.0,20.928835,12.4,1.572,distress,417.82309506549217,19.4,360.0913858616877,703.2421211531872,222.1571274011457,2.9,9.73,35.63
CTVA,"Corteva, Inc.",Basic Materials,76.835,51388780544.0,41.532433,12.905,2.376,grey,77.50914491791514,0.9,26.11177832000455,45.20397394930194,18.408286965835657,-66.0,-0.1,8.42
CSGP,"CoStar Group, Inc.",Real Estate,34.13,13937180672.0,487.57144,50.453,4.629,not applicable,33.72762232065247,-1.2,11.30549777744204,19.405413670583957,8.054020419429623,-66.9,14.16,6.02
COST,Costco Wholesale Corporation,Consumer Defensive,984.5068,436607909888.0,49.62232,31.146,10.174,safe,969.9844615978536,-1.5,262.3991469868899,445.352533126573,188.78038002912487,-73.3,6.64,2.44
CRH,CRH plc,Basic Materials,104.95,70127607808.0,19.471243,11.852,2.999,grey,109.3453090173799,4.2,41.94612332568379,89.00751049298785,22.99462660746826,-60.0,4.6,7.67
CRWD,"CrowdStrike Holdings, Inc.",Technology,681.55,173498646528.0,34.961765,3023.736,16.357,safe,717.504251153007,5.3,233.7761250443372,400.3386771764707,167.14512311886875,-65.7,29.01,28.33
CCI,Crown Castle Inc.,Real Estate,93.9157,40989691904.0,39.62688,25.919,0.069,not applicable,93.58986883100036,-0.3,-36.11221780543804,-15.813214707156495,-44.3469919935727,-138.5,-10.0,40.0
CSX,CSX Corporation,Industrials,47.1,87518339072.0,28.895704,15.732,2.715,grey,45.96086293779113,-2.4,7.4101150161552,18.986678594235407,2.735539665738129,-84.3,-1.74,19.01
CMI,Cummins Inc.,Industrials,656.965,90653990912.0,34.110332,19.914,5.246,safe,674.4053571722461,2.7,166.31953887150402,308.665465793159,109.03264738117736,-74.7,6.25,4.93
